"cohort_yymm","cohort_index","cohort_ret_nbr","cohort_ret_pct"
"2020-07-01","4","49","42.98245614035088"
"2020-07-01","5","49","42.98245614035088"
"2020-08-01","0","110","100"
"2020-08-01","1","89","80.9090909090909"
"2020-08-01","2","76","69.0909090909091"
"2020-08-01","3","30","27.272727272727273"
"2020-08-01","4","28","25.454545454545453"
"2020-09-01","0","59","100"
"2020-09-01","1","52","88.13559322033899"
"2020-09-01","2","19","32.20338983050848"
"2020-09-01","3","17","28.8135593220339"
"2020-10-01","0","57","100"
"2020-10-01","1","20","35.08771929824562"
"2020-10-01","2","17","29.82456140350877"
"2020-11-01","0","74","100"
"2020-11-01","1","42","56.75675675675676"
"2020-12-01","0","119","100"
